Campaign_Id,Reach,Frequency,Click,Lead,Product,Cost,Revenue,Channel_Id,Date,Campaign Goal,Duration,Target_Audience_Id
CAMP_0043,9592,"5,68",863,158,30,"95920,71","242260,7",CHAN_003,4/13/2024,Brand Awareness,81,TA_006
CAMP_0044,11388,"3,25",1025,132,90,"113842,53","262571,67",CHAN_003,11/13/2024,Sales,38,TA_008
CAMP_0045,7392,"2,33",666,158,30,73947,"241923,42",CHAN_003,7/28/2024,Lead Generation,18,TA_002
CAMP_0046,3167,"5,44",285,158,30,"31635,91","108136,98",CHAN_003,9/7/2024,Sales,7,TA_009
CAMP_0047,9884,"6,23",889,73,32,"98803,78","322021,94",CHAN_002,12/28/2024,Lead Generation,52,TA_010
CAMP_0048,949,"1,03",86,273,59,"9506,36","20127,96",CHAN_001,4/8/2024,Lead Generation,76,TA_009
CAMP_0049,8840,"4,52",796,273,59,"88440,3","254607,85",CHAN_002,2/19/2024,Sales,53,TA_003
CAMP_0050,10431,"1,6",939,273,59,"104336,17","237394,76",CHAN_002,8/27/2024,Brand Awareness,71,TA_009
CAMP_0051,5419,"4,63",487,132,90,"54155,07","94193,65",CHAN_003,9/17/2024,Brand Awareness,43,TA_008
CAMP_0052,9506,"3,87",856,158,30,"95063,58","174028,59",CHAN_002,5/10/2024,Brand Awareness,87,TA_008
CAMP_0053,2732,"6,41",246,43,21,"27350,26","50643,26",CHAN_002,6/16/2024,Brand Awareness,82,TA_008
CAMP_0054,7643,"4,58",688,62,4,"76440,47","198890,89",CHAN_002,5/5/2024,Sales,71,TA_001
CAMP_0055,10749,"3,55",967,433,140,"107453,01","345144,65",CHAN_001,8/11/2024,Lead Generation,27,TA_004
CAMP_0056,898,"5,1",81,158,30,"8960,91","24187,85",CHAN_001,10/7/2024,Brand Awareness,41,TA_005
CAMP_0057,10924,"1,28",983,495,130,"109245,19","287911,71",CHAN_001,3/18/2024,Brand Awareness,35,TA_005
CAMP_0058,6008,"1,64",541,482,120,"60077,06","125337,52",CHAN_003,8/23/2024,Sales,55,TA_002
CAMP_0059,5029,"2,75",452,495,130,"50259,02","172086,75",CHAN_001,9/5/2024,Brand Awareness,11,TA_002
CAMP_0060,8034,"2,11",723,212,77,"80336,51","198006,09",CHAN_003,10/6/2024,Sales,26,TA_008
CAMP_0061,11351,"1,72",1022,248,100,"113530,85","355489,7",CHAN_002,3/18/2024,Sales,42,TA_008
CAMP_0062,1540,"3,5",139,158,30,"15428,35","52920,83",CHAN_001,2/17/2024,Lead Generation,62,TA_002
CAMP_0063,8144,"0,82",733,188,12,"81427,41","233146,82",CHAN_003,1/29/2024,Sales,59,TA_008
CAMP_0064,8234,"4,82",741,375,300,"82362,46","216469,22",CHAN_002,8/6/2024,Sales,83,TA_008
CAMP_0065,11284,"6,05",1015,73,32,"112829,56","361871,01",CHAN_003,2/10/2024,Sales,56,TA_005
CAMP_0066,2557,"1,02",230,318,100,"25558,08","50412,18",CHAN_002,4/11/2024,Brand Awareness,79,TA_005
CAMP_0067,11501,"2,64",1035,324,98,"115011,34","284995,82",CHAN_001,5/8/2024,Brand Awareness,83,TA_010
CAMP_0068,2835,"5,62",255,324,98,"28363,23","66672,83",CHAN_001,1/14/2024,Brand Awareness,43,TA_005
CAMP_0069,9966,"1,87",897,135,13,"99660,91","274612,89",CHAN_003,2/22/2024,Brand Awareness,76,TA_005
CAMP_0070,7470,"5,12",673,132,90,"74726,21","226631,06",CHAN_003,12/4/2024,Sales,74,TA_010
CAMP_0071,8239,"5,35",741,495,130,"82362,46","292874,83",CHAN_003,1/1/2024,Brand Awareness,38,TA_004
CAMP_0072,647,"6,37",58,62,30,"6467,44","18715,42",CHAN_002,6/6/2024,Brand Awareness,21,TA_010
CAMP_0073,3916,"3,32",353,12,9,"39194,25","88700,62",CHAN_003,5/11/2024,Brand Awareness,54,TA_003
CAMP_0074,1559,"2,96",140,132,90,"15584,19","49567,11",CHAN_003,6/14/2024,Sales,45,TA_007
CAMP_0075,5255,"1,86",473,188,12,"52518,73","119467,25",CHAN_002,7/17/2024,Lead Generation,76,TA_001
CAMP_0076,3569,"1,11",321,318,100,"35687,8","90436,44",CHAN_003,2/28/2024,Brand Awareness,23,TA_008
CAMP_0077,3532,"2,49",318,21,8,"35298,2","123480,29",CHAN_001,10/14/2024,Lead Generation,80,TA_001
CAMP_0078,1771,"5,52",159,318,100,"17688,06","32467,16",CHAN_003,9/21/2024,Brand Awareness,42,TA_002
CAMP_0079,1419,"6,26",128,433,140,"14181,62","43482,18",CHAN_003,1/10/2024,Lead Generation,83,TA_004
CAMP_0080,9199,"4,97",828,21,8,"92024,66","190082,17",CHAN_001,8/6/2024,Sales,53,TA_004
CAMP_0081,6395,"2,77",576,12,9,"63973,11","223734,98",CHAN_003,4/14/2024,Sales,27,TA_003
CAMP_0082,1343,"3,71",121,188,12,"13402,41","40292,11",CHAN_001,8/14/2024,Brand Awareness,57,TA_010
CAMP_0083,3292,"1,03",297,433,140,"32960,57","104526,3",CHAN_001,3/24/2024,Lead Generation,74,TA_009
CAMP_0084,8844,"0,84",796,132,90,"88440,3","254339,52",CHAN_002,6/30/2024,Lead Generation,84,TA_001
CAMP_0085,3569,"2,3",321,212,77,"35687,8","63322,24",CHAN_002,7/16/2024,Sales,55,TA_001
CAMP_0086,7149,"5,01",643,21,8,"71453,52","160028,39",CHAN_003,10/9/2024,Brand Awareness,37,TA_005
CAMP_0087,4674,"1,79",421,318,100,"46752,58","86963,29",CHAN_002,7/8/2024,Lead Generation,12,TA_004
CAMP_0088,8360,"5,21",752,62,30,"83609,2","176634,63",CHAN_002,12/8/2024,Sales,60,TA_007
CAMP_0089,1594,"1,21",144,433,140,"15973,8","40864,79",CHAN_003,3/24/2024,Sales,81,TA_008
CAMP_0090,1263,"2,75",114,273,59,"12623,2","40137,32",CHAN_002,2/9/2024,Sales,11,TA_008
CAMP_0091,1514,"6,42",136,135,13,"15116,67","32398,7",CHAN_003,5/23/2024,Brand Awareness,63,TA_004
CAMP_0092,5738,"2,02",516,43,21,"57349,83","157121,27",CHAN_001,12/19/2024,Sales,10,TA_010
CAMP_0093,8572,"1,81",771,305,120,"85713,06","240913,68",CHAN_001,1/18/2024,Brand Awareness,62,TA_005
CAMP_0094,10208,"4,36",919,433,140,"102076,46","184153,35",CHAN_001,4/2/2024,Sales,36,TA_008
CAMP_0095,10987,"5,82",989,188,12,"109868,56","285310,36",CHAN_002,1/24/2024,Lead Generation,50,TA_002
CAMP_0096,6460,"6,09",581,495,130,"64596,48","118148,79",CHAN_003,2/26/2024,Brand Awareness,89,TA_002
CAMP_0097,3331,"1,81",300,62,4,"33350,17","67713,94",CHAN_003,7/13/2024,Sales,31,TA_008
CAMP_0098,9374,"4,73",844,188,12,"93738,92","256377,46",CHAN_001,5/19/2024,Brand Awareness,8,TA_001
CAMP_0099,3868,"3,34",348,43,21,"38648,8","121426,76",CHAN_001,10/31/2024,Lead Generation,41,TA_008
CAMP_0100,5819,"4,12",524,12,9,"58206,96","133349,47",CHAN_002,4/10/2024,Lead Generation,42,TA_005
CAMP_0101,7137,"6,19",642,318,100,"71375,6","248450,43",CHAN_002,7/1/2024,Lead Generation,14,TA_008
CAMP_0102,4234,"4,46",381,212,77,"42311,08","143709,82",CHAN_001,1/29/2024,Sales,54,TA_006
CAMP_0103,5612,"1,66",505,158,30,"56103,09","98383,1",CHAN_001,4/12/2024,Brand Awareness,88,TA_010
CAMP_0104,7346,"4,16",661,248,100,"73479,47","237222,39",CHAN_002,4/19/2024,Lead Generation,39,TA_003
CAMP_0105,9819,"0,9",884,482,120,"98180,42","186394,83",CHAN_002,7/17/2024,Lead Generation,32,TA_005
CAMP_0106,4176,"6,31",376,158,30,"41765,64","109306,58",CHAN_003,3/23/2024,Brand Awareness,40,TA_008
CAMP_0107,2875,"3,66",259,495,130,"28752,84","74901,95",CHAN_001,3/10/2024,Sales,41,TA_003
CAMP_0108,10650,"5,31",959,324,98,"106517,96","211906,9",CHAN_001,1/27/2024,Sales,16,TA_002
CAMP_0109,4760,"0,69",428,324,98,"47609,71","130466,21",CHAN_003,10/4/2024,Lead Generation,10,TA_001
CAMP_0110,6953,"1,43",626,433,140,"69505,5","196059,99",CHAN_003,11/14/2024,Sales,8,TA_002
CAMP_0111,4497,"3,45",405,248,100,"44960,4","108260,55",CHAN_001,5/29/2024,Sales,47,TA_003
CAMP_0112,5858,"5,31",527,495,130,"58596,57","147678,22",CHAN_001,10/1/2024,Sales,37,TA_009
CAMP_0113,6252,"6,43",562,158,30,"62492,61","108290,3",CHAN_003,4/26/2024,Lead Generation,40,TA_007
CAMP_0114,1983,"4,36",179,324,98,"19869,85","47328,98",CHAN_001,6/8/2024,Sales,34,TA_007
CAMP_0115,5928,"3,77",534,433,140,"59297,85","180018,39",CHAN_003,11/25/2024,Sales,8,TA_008
CAMP_0116,2890,"5,97",260,318,100,"28908,68","90298,37",CHAN_002,10/6/2024,Sales,64,TA_002
CAMP_0117,6855,"4,05",617,188,12,"68570,45","163631,65",CHAN_003,9/21/2024,Brand Awareness,72,TA_004
CAMP_0118,1389,"3,57",125,12,9,"13869,93","27793,48",CHAN_002,3/4/2024,Lead Generation,49,TA_007
CAMP_0119,926,"3,8",83,324,98,"9272,59","33258,15",CHAN_002,3/27/2024,Lead Generation,58,TA_009
CAMP_0120,7119,"3,28",641,248,100,"71219,76","154471,72",CHAN_002,12/24/2024,Sales,75,TA_007
CAMP_0121,7948,"5,06",715,132,90,"79479,38","251212,54",CHAN_001,3/28/2024,Lead Generation,70,TA_008
CAMP_0122,9691,"4,55",872,248,100,"96933,68","348134,04",CHAN_003,9/26/2024,Sales,68,TA_007
CAMP_0123,7556,"5,13",680,62,30,"75583,34","261124,22",CHAN_002,11/24/2024,Brand Awareness,55,TA_004
CAMP_0124,7425,"3,49",668,495,130,"74258,68","239661,48",CHAN_003,7/29/2024,Brand Awareness,80,TA_008
CAMP_0125,11613,"1,15",1045,273,59,"116102,24","354757,59",CHAN_002,6/14/2024,Sales,9,TA_005
CAMP_0126,831,"6,52",75,248,100,"8337,54","22780,29",CHAN_002,12/27/2024,Sales,45,TA_003
CAMP_0127,10928,"3,51",983,132,90,"109245,19","289308,98",CHAN_001,9/11/2024,Brand Awareness,64,TA_009
CAMP_0128,9677,"4,32",871,495,130,"96777,84","299076,19",CHAN_001,7/6/2024,Sales,61,TA_004
CAMP_0129,7425,"2,19",668,318,100,"74258,68","212691,84",CHAN_001,7/7/2024,Lead Generation,83,TA_002
CAMP_0130,400,"3,62",36,132,90,"3973,97","13321,04",CHAN_003,5/28/2024,Brand Awareness,24,TA_007
CAMP_0131,8971,"3,44",807,375,300,"89687,03","198921,59",CHAN_003,5/16/2024,Brand Awareness,68,TA_010
CAMP_0132,953,"6,24",86,12,9,"9506,36","18596,19",CHAN_002,1/5/2024,Brand Awareness,14,TA_010
CAMP_0133,3083,"6,21",278,273,59,"30856,7","54020,23",CHAN_001,9/27/2024,Lead Generation,70,TA_009
CAMP_0134,9622,"5,02",866,132,90,"96232,39","201552,57",CHAN_003,7/16/2024,Brand Awareness,89,TA_001
CAMP_0135,6789,"4,33",611,62,4,"67869,16","206718,82",CHAN_001,5/29/2024,Brand Awareness,79,TA_001
CAMP_0136,552,"3,71",50,273,59,"5532,39","16654,71",CHAN_002,6/5/2024,Lead Generation,16,TA_004
CAMP_0137,3940,"2,28",355,318,100,"39428,01","70237,99",CHAN_003,10/9/2024,Lead Generation,16,TA_001
CAMP_0138,8563,"2,9",771,73,32,"85635,14","291130,02",CHAN_001,8/11/2024,Lead Generation,38,TA_005
CAMP_0139,7670,"4,66",690,495,130,"76674,23","136046,73",CHAN_002,10/30/2024,Lead Generation,10,TA_001
CAMP_0140,9729,"4,28",876,324,98,"97323,28","230707,23",CHAN_003,1/24/2024,Sales,51,TA_003
CAMP_0141,1314,"3,27",119,43,21,"13168,64","37507,83",CHAN_002,10/12/2024,Sales,29,TA_008
CAMP_0142,669,"1,22",60,188,12,"6701,2","13174,78",CHAN_003,5/7/2024,Lead Generation,49,TA_006
CAMP_0143,6997,"6,39",630,62,4,"69973,03","232036,2",CHAN_001,11/21/2024,Lead Generation,26,TA_001
CAMP_0144,4460,"2,15",401,248,100,"44570,79","158594,95",CHAN_001,9/5/2024,Sales,26,TA_005
CAMP_0145,4768,"6,07",429,158,30,"47687,63","162861,35",CHAN_002,1/28/2024,Lead Generation,27,TA_001
CAMP_0146,994,"1,51",90,43,21,"9973,88","18403,43",CHAN_002,11/24/2024,Brand Awareness,32,TA_002
CAMP_0147,9105,"1,03",820,212,77,"91089,61","259159,42",CHAN_001,8/16/2024,Brand Awareness,10,TA_009
CAMP_0148,8343,"1,86",751,273,59,"83453,35","181900,94",CHAN_001,2/23/2024,Lead Generation,29,TA_010
CAMP_0149,3704,"4,45",333,158,30,"37012,46","119477,6",CHAN_002,10/29/2024,Brand Awareness,29,TA_009
CAMP_0150,8414,"1,92",757,495,130,"84154,64","227869,92",CHAN_002,2/8/2024,Sales,20,TA_002
CAMP_0151,10302,"4,12",927,248,100,"103011,52","338813,71",CHAN_001,10/25/2024,Lead Generation,11,TA_003
CAMP_0152,9431,"5,09",849,62,30,"94284,37","231444,39",CHAN_001,10/6/2024,Brand Awareness,89,TA_004
CAMP_0153,7317,"5,53",659,43,21,"73167,79","126402,27",CHAN_002,10/15/2024,Brand Awareness,48,TA_004
CAMP_0154,5034,"4,79",453,62,4,"50336,94","168551,88",CHAN_001,7/5/2024,Brand Awareness,24,TA_002
CAMP_0155,10257,"3,12",923,43,21,"102543,99","367790,66",CHAN_002,5/27/2024,Sales,11,TA_001
CAMP_0156,451,"0,72",41,212,77,"4519,42","16005,76",CHAN_001,5/22/2024,Brand Awareness,52,TA_006
CAMP_0157,9227,"6,09",830,433,140,"92258,42","196257,73",CHAN_003,1/12/2024,Lead Generation,60,TA_007
CAMP_0158,1778,"6,39",160,375,300,"17765,98","54258,67",CHAN_001,3/11/2024,Lead Generation,41,TA_008
CAMP_0159,8265,"4,91",744,273,59,"82674,14","195226,46",CHAN_001,4/12/2024,Lead Generation,16,TA_002
CAMP_0160,10874,"6,43",979,305,120,"108777,67","363003,77",CHAN_003,6/7/2024,Brand Awareness,9,TA_008
CAMP_0161,8964,"4,12",806,212,77,"89609,11","290806,03",CHAN_001,7/16/2024,Brand Awareness,83,TA_003
CAMP_0162,10010,"1,82",901,482,120,"100128,44","306545,97",CHAN_003,7/9/2024,Brand Awareness,11,TA_008
CAMP_0163,6127,"4,82",551,495,130,"61245,88","155427,67",CHAN_002,3/24/2024,Sales,66,TA_007
CAMP_0164,2753,"2,42",248,273,59,"27506,1","96699,88",CHAN_003,11/2/2024,Brand Awareness,9,TA_010
CAMP_0165,5186,"3,84",467,212,77,"51895,36","131785,03",CHAN_003,5/5/2024,Brand Awareness,27,TA_007
CAMP_0166,9681,"2,77",871,482,120,"96777,84","259724,69",CHAN_001,4/23/2024,Sales,83,TA_001
CAMP_0167,485,"3,87",43,324,98,"4831,1","9289,24",CHAN_002,7/8/2024,Sales,38,TA_001
CAMP_0168,9092,2,818,495,130,"90933,77","323104,55",CHAN_003,5/12/2024,Sales,36,TA_003
CAMP_0169,6000,"1,11",540,433,140,"59999,14","197877,87",CHAN_002,6/13/2024,Brand Awareness,72,TA_010
CAMP_0170,3036,"2,94",274,305,120,"30389,18","98236,66",CHAN_001,3/21/2024,Brand Awareness,46,TA_006
CAMP_0171,1114,"4,16",100,433,140,"11142,7","37495,29",CHAN_001,1/12/2024,Lead Generation,75,TA_009
CAMP_0172,5124,"5,84",461,188,12,"51271,99","126431,11",CHAN_002,3/30/2024,Sales,80,TA_001
CAMP_0173,11461,"4,6",1032,21,8,"114621,74","332000,75",CHAN_001,10/20/2024,Lead Generation,68,TA_007
CAMP_0174,8206,"5,51",738,375,300,"82050,78","228774,9",CHAN_003,2/2/2024,Sales,81,TA_008
CAMP_0175,1009,"4,02",91,188,12,"10129,73","31165,55",CHAN_001,4/13/2024,Sales,49,TA_008
CAMP_0176,5569,"5,15",501,132,90,"55713,49","163731,87",CHAN_001,7/27/2024,Sales,34,TA_008
CAMP_0177,9404,"3,85",846,248,100,"94050,6","292980,47",CHAN_001,7/24/2024,Brand Awareness,41,TA_002
CAMP_0178,3885,"6,35",350,495,130,"38882,56","91564,18",CHAN_001,4/28/2024,Lead Generation,78,TA_009
CAMP_0179,1045,"3,67",94,43,21,"10441,41","33247,35",CHAN_001,1/13/2024,Sales,8,TA_010
CAMP_0180,9481,"2,02",853,212,77,"94829,81","283738,49",CHAN_002,7/24/2024,Lead Generation,52,TA_008
CAMP_0181,6927,"4,08",623,73,32,"69271,74","221889,09",CHAN_002,1/16/2024,Brand Awareness,43,TA_009
CAMP_0182,8475,"3,23",763,21,8,"84778,01","166865,61",CHAN_001,8/9/2024,Sales,59,TA_005
CAMP_0183,7391,"4,4",666,62,4,73947,"222937,73",CHAN_003,12/1/2024,Brand Awareness,23,TA_001
CAMP_0184,2551,"6,16",229,495,130,"25480,16","86743,16",CHAN_002,1/26/2024,Sales,18,TA_003
CAMP_0185,8034,"1,29",723,248,100,"80336,51","282992,3",CHAN_001,6/26/2024,Brand Awareness,50,TA_009
CAMP_0186,5832,"3,36",525,273,59,"58284,88",168691,CHAN_003,1/13/2024,Sales,57,TA_005
CAMP_0187,6003,"5,34",540,318,100,"59999,14","189244,12",CHAN_002,6/16/2024,Lead Generation,76,TA_009
CAMP_0188,7706,"5,08",694,158,30,"77063,83","141118,18",CHAN_003,4/30/2024,Sales,73,TA_007
CAMP_0189,4538,"2,94",408,158,30,45350,"133321,35",CHAN_001,4/16/2024,Brand Awareness,67,TA_001
CAMP_0190,6247,"1,74",562,135,13,"62492,61","206869,42",CHAN_003,9/26/2024,Sales,18,TA_003
CAMP_0191,11672,"2,6",1051,132,90,"116725,61","286441,38",CHAN_003,5/17/2024,Lead Generation,42,TA_005
CAMP_0192,6221,"2,93",560,132,90,"62180,93","136756,57",CHAN_003,8/21/2024,Lead Generation,54,TA_006
CAMP_0193,10244,"1,07",922,495,130,"102466,07","329343,83",CHAN_003,2/3/2024,Lead Generation,56,TA_008
CAMP_0194,885,"3,3",80,62,4,"8882,99","26917,12",CHAN_001,8/3/2024,Sales,65,TA_003
CAMP_0195,7088,"4,37",638,305,120,"70908,08","154369,9",CHAN_001,9/10/2024,Lead Generation,57,TA_008
CAMP_0196,11295,"4,71",1017,62,30,"112985,4","359564,25",CHAN_003,12/25/2024,Sales,27,TA_004
CAMP_0197,3384,"6,39",304,12,9,"33817,7","89905,77",CHAN_001,2/21/2024,Brand Awareness,32,TA_003
CAMP_0198,6184,"1,32",557,158,30,"61869,25","119683,15",CHAN_002,7/15/2024,Lead Generation,43,TA_010
CAMP_0199,2711,"3,72",244,273,59,"27116,5","94178,85",CHAN_001,12/23/2024,Lead Generation,82,TA_009
CAMP_0200,4036,"5,93",363,482,120,"40363,06","71874,07",CHAN_003,10/16/2024,Brand Awareness,79,TA_004
CAMP_0201,1058,"5,26",95,482,120,"10597,25","32921,04",CHAN_002,5/14/2024,Lead Generation,31,TA_003
CAMP_0202,6948,"5,63",626,212,77,"69505,5","123669,66",CHAN_002,3/30/2024,Sales,70,TA_005
CAMP_0203,5147,"3,52",464,495,130,"51505,76","106685,54",CHAN_002,4/21/2024,Brand Awareness,82,TA_009
CAMP_0204,3475,"1,48",313,324,98,"34752,75","108343,21",CHAN_001,4/28/2024,Sales,47,TA_003
CAMP_0205,5240,"3,51",471,495,130,"52362,89","172129,46",CHAN_001,3/13/2024,Sales,74,TA_002
CAMP_0206,9714,"2,67",875,305,120,"97167,44","240779,77",CHAN_002,2/7/2024,Lead Generation,49,TA_010
CAMP_0207,4817,"3,49",433,495,130,"48155,16","123500,88",CHAN_002,12/4/2024,Lead Generation,60,TA_010
CAMP_0208,762,"5,24",69,212,77,"7636,25","23479,12",CHAN_001,1/21/2024,Sales,77,TA_004
CAMP_0209,1475,"2,93",133,132,90,"14727,06","34014,15",CHAN_003,4/19/2024,Brand Awareness,63,TA_009
CAMP_0210,5047,"2,88",454,158,30,"50492,79","150236,52",CHAN_003,9/18/2024,Lead Generation,87,TA_005
CAMP_0211,513,"5,13",46,318,100,"5142,78","11727,67",CHAN_003,4/28/2024,Lead Generation,22,TA_005
CAMP_0212,4517,"4,63",407,375,300,"45194,16","148802,73",CHAN_002,9/29/2024,Brand Awareness,42,TA_008
CAMP_0213,9761,"5,39",879,482,120,"97634,97","202682,32",CHAN_002,3/23/2024,Lead Generation,52,TA_001
CAMP_0214,8623,2,776,135,13,"86258,51","216110,62",CHAN_002,9/12/2024,Brand Awareness,52,TA_006
CAMP_0215,3497,"0,77",315,73,32,"34986,51","123726,11",CHAN_001,4/23/2024,Sales,30,TA_008
CAMP_0216,7331,"2,02",660,305,120,"73323,63","139347,17",CHAN_002,2/24/2024,Lead Generation,79,TA_005
CAMP_0217,8536,"0,73",769,318,100,"85401,38","163884,36",CHAN_002,7/20/2024,Brand Awareness,32,TA_004
CAMP_0218,1540,"2,64",139,433,140,"15428,35","55025,78",CHAN_003,7/2/2024,Sales,52,TA_005
CAMP_0219,3068,"0,88",276,135,13,"30700,86","65361,24",CHAN_001,10/1/2024,Lead Generation,34,TA_002
CAMP_0220,11385,"4,65",1025,273,59,"113842,53",204285,CHAN_002,5/8/2024,Sales,60,TA_007
CAMP_0221,4191,"5,55",377,73,32,"41921,48","81900,39",CHAN_002,5/31/2024,Lead Generation,36,TA_001
CAMP_0222,10025,"6,05",903,212,77,"100284,28","357776,54",CHAN_002,9/5/2024,Lead Generation,40,TA_004
CAMP_0223,5012,"3,92",451,212,77,"50103,18","173101,3",CHAN_003,1/25/2024,Sales,55,TA_007
CAMP_0224,10825,"0,97",974,375,300,"108232,22","382868,78",CHAN_003,3/29/2024,Lead Generation,70,TA_003
CAMP_0225,3152,"5,69",283,132,90,"31480,07","72734,56",CHAN_001,1/5/2024,Brand Awareness,52,TA_008
CAMP_0226,3972,"2,26",358,212,77,"39739,69","86162,1",CHAN_002,6/23/2024,Lead Generation,9,TA_010
CAMP_0227,8965,"2,9",807,188,12,"89687,03","278152,99",CHAN_002,1/19/2024,Sales,89,TA_010
CAMP_0228,6866,"3,93",618,248,100,"68648,37","211889,83",CHAN_002,10/19/2024,Sales,17,TA_009
CAMP_0229,1327,"2,67",119,188,12,"13246,56","46672,01",CHAN_003,9/14/2024,Lead Generation,26,TA_002
CAMP_0230,11552,"2,82",1040,482,120,"115556,79","300593,8",CHAN_003,3/17/2024,Brand Awareness,23,TA_009
